id,submitter,categories,abstract,title,affiliation
0,A. Artale,cs.AI,"  A class of interval-based temporal languages for uniformly representing and
reasoning about actions and plans is presented. Actions are represented by
describing what is true while the action itself is occurring, and plans are
constructed by temporally relating actions and world states. The temporal
languages are members of the family of Description Logics, which are
characterized by high expressivity combined with good computational properties.
The subsumption problem for a class of temporal Description Logics is
investigated and sound and complete decision procedures are given. The basic
language TL-F is considered first: it is the composition of a temporal logic TL
-- able to express interval temporal networks -- together with the non-temporal
logic F -- a Feature Description Logic. It is proven that subsumption in this
language is an NP-complete problem. Then it is shown how to reason with the
more expressive languages TLU-FU and TL-ALCF. The former adds disjunction both
at the temporal and non-temporal sides of the language, the latter extends the
non-temporal side with set-valued features (i.e., roles) and a propositionally
complete language.
",A Temporal Description Logic for Reasoning about Actions and Plans,University of Florence
1,Adam Stewart,cs.CV cs.LG,"  Remotely sensed geospatial data are critical for applications including
precision agriculture, urban planning, disaster monitoring and response, and
climate change research, among others. Deep learning methods are particularly
promising for modeling many remote sensing tasks given the success of deep
neural networks in similar computer vision tasks and the sheer volume of
remotely sensed imagery available. However, the variance in data collection
methods and handling of geospatial metadata make the application of deep
learning methodology to remotely sensed data nontrivial. For example, satellite
imagery often includes additional spectral bands beyond red, green, and blue
and must be joined to other geospatial data sources that can have differing
coordinate systems, bounds, and resolutions. To help realize the potential of
deep learning for remote sensing applications, we introduce TorchGeo, a Python
library for integrating geospatial data into the PyTorch deep learning
ecosystem. TorchGeo provides data loaders for a variety of benchmark datasets,
composable datasets for generic geospatial data sources, samplers for
geospatial data, and transforms that work with multispectral imagery. TorchGeo
is also the first library to provide pre-trained models for multispectral
satellite imagery (e.g. models that use all bands from the Sentinel 2
satellites), allowing for advances in transfer learning on downstream remote
sensing tasks with limited labeled data. We use TorchGeo to create reproducible
benchmark results on existing datasets and benchmark our proposed method for
preprocessing geospatial imagery on-the-fly. TorchGeo is open-source and
available on GitHub: https://github.com/microsoft/torchgeo.
",TorchGeo: deep learning with geospatial data,University of Southampton
2,Adam Stewart,astro-ph.HE,"  We investigate the relation between the radio (F_r) and optical (F_o) flux
densities of a variety of classes of radio transients and variables, with the
aim of analysing whether this information can be used, in the future, to
classify such events. Using flux density values between 1-10 GHz and the
optical bands V and R, we build a sample with a total of 12,441 F_r and F_o
measurements. The sample contains both Galactic objects, such as stellar
sources and X-ray binaries, and extragalactic objects, such as gamma-ray bursts
and quasars. By directly comparing the two parameters, it is already possible
to distinguish between the Galactic and extragalactic populations. Although
individual classes are harder to separate from the F_r-F_o parameter space to a
high accuracy, and can only provide approximations, the basic approach provides
an already useful foundation to develop a more accurate classification
technique. In addition, we illustrate how example objects from different
classes move in the parameter space as they evolve over time, offering a
feature that could be used to reduce the confusion between classes. A small,
blind test of the classification performance is also undertaken using a
catalogue of FIRST transient and variable sources, to demonstrate the
advantages and current limitations of the approach. With more multi-wavelength
data becoming available in the future, we discuss other classification
techniques which the F_r-F_o method could be combined with and potentially
become an important part of an automatic radio transient classification system.
",On the optical counterparts of radio transients and variables,University of Southampton
3,Adam Stewart,astro-ph.HE,"  This chapter provides an overview of the possibilities for transient and
variable-source astrophysics with the Square Kilometre Array. While subsequent
chapters focus on the astrophysics of individual events, we focus on the
broader picture, and how to maximise the science coming from the telescope. The
SKA as currently designed will be a fantastic and ground-breaking facility for
radio transient studies, but the scientifc yield will be dramatically increased
by the addition of (i) near-real-time commensal searches of data streams for
events, and (ii) on occasion, rapid robotic response to Target-of-Opprtunity
style triggers.
",Transient Astrophysics with the Square Kilometre Array,University of Southampton
4,Adam Stewart,astro-ph.HE astro-ph.IM,"  We present the results of a four-month campaign searching for low-frequency
radio transients near the North Celestial Pole with the Low-Frequency Array
(LOFAR), as part of the Multifrequency Snapshot Sky Survey (MSSS). The data
were recorded between 2011 December and 2012 April and comprised 2149 11-minute
snapshots, each covering 175 deg^2. We have found one convincing candidate
astrophysical transient, with a duration of a few minutes and a flux density at
60 MHz of 15-25 Jy. The transient does not repeat and has no obvious optical or
high-energy counterpart, as a result of which its nature is unclear. The
detection of this event implies a transient rate at 60 MHz of 3.9 (+14.7, -3.7)
x 10^-4 day^-1 deg^-2, and a transient surface density of 1.5 x 10^-5 deg^-2,
at a 7.9-Jy limiting flux density and ~10-minute time-scale. The campaign data
were also searched for transients at a range of other time-scales, from 0.5 to
297 min, which allowed us to place a range of limits on transient rates at 60
MHz as a function of observation duration.
","LOFAR MSSS: Detection of a low-frequency radio transient in 400 hrs of
  monitoring of the North Celestial Pole",University of Southampton
5,Adam Stewart,astro-ph.IM,"  This is the third installment in a series of papers in which we investigate
calibration artefacts. Calibration artefacts (also known as ghosts or spurious
sources) are created when we calibrate with an incomplete model. In the first
two papers of this series we developed a mathematical framework which enabled
us to study the ghosting mechanism itself. An interesting concomitant of the
second paper was that ghosts appear in symmetrical pairs. This could possibly
account for spurious symmetrization. Spurious symmetrization refers to the
appearance of a spurious source (the anti-ghost) symmetrically opposite an
unmodelled source around a modelled source. The analysis in the first two
papers indicates that the anti-ghost is usually very faint, in particular when
a large number of antennas are used. This suggests that spurious symmetrization
will mainly occur at an almost undetectable flux level. In this paper, we show
that phase-only calibration produces an anti-ghost that is $N$-times (where $N$
denotes the number of antennas in the array) as bright as the one produced by
phase and amplitude calibration and that this already bright ghost can be
further amplified by the primary beam correction.
","Calibration artefacts in radio interferometry. III. Phase-only
  calibration and primary beam correction",University of Southampton
6,Ajit P. Singh,cs.LG stat.ML,"  Relational learning can be used to augment one data source with other
correlated sources of information, to improve predictive accuracy. We frame a
large class of relational learning problems as matrix factorization problems,
and propose a hierarchical Bayesian model. Training our Bayesian model using
random-walk Metropolis-Hastings is impractically slow, and so we develop a
block Metropolis-Hastings sampler which uses the gradient and Hessian of the
likelihood to dynamically tune the proposal. We demonstrate that a predictive
model of brain response to stimuli can be improved by augmenting it with side
information about the stimuli.
",A Bayesian Matrix Factorization Model for Relational Data,Carnegie Mellon University
7,Ajit P. Singh,cs.CE q-bio.QM,"  Shotgun proteomics is a high-throughput technology used to identify unknown
proteins in a complex mixture. At the heart of this process is a prediction
task, the spectrum identification problem, in which each fragmentation spectrum
produced by a shotgun proteomics experiment must be mapped to the peptide
(protein subsequence) which generated the spectrum. We propose a new algorithm
for spectrum identification, based on dynamic Bayesian networks, which
significantly outperforms the de-facto standard tools for this task: SEQUEST
and Mascot.
","Spectrum Identification using a Dynamic Bayesian Network Model of Tandem
  Mass Spectra",Carnegie Mellon University
8,Akihiko Inoue,math.PR,"  We introduce a class of Gaussian processes with stationary increments which
exhibit long-range dependence. The class includes fractional Brownian motion
with Hurst parameter H>1/2 as a typical example. We establish infinite and
finite past prediction formulas for the processes in which the predictor
coefficients are given explicitly in terms of the MA and AR coefficients.
",Prediction of Fractional Processes with Long-range Dependence,Kyushu University
9,Akihiko Inoue,math.PR math.ST stat.TH,"  We consider an intersection of past and future property of multivariate
stationary processes which is the key to deriving various representation
theorems for their linear predictor coefficient matrices. We extend useful
spectral characterizations for this property from univariate processes to
multivariate processes.
","The intersection of past and future for multivariate stationary
  processes",Kyushu University
