source,target,value
Petersburg Nuclear Physics Institute,University of Florida,0.64182581
Petersburg Nuclear Physics Institute,University of Melbourne,0.586610132
Petersburg Nuclear Physics Institute,University of Stuttgart,0.680677095
Petersburg Nuclear Physics Institute,University of Tennessee,0.623200408
Petersburg Nuclear Physics Institute,University of New South Wales,0.665550099
Petersburg Nuclear Physics Institute,Karlsruhe Institute of Technology,0.706769536
Petersburg Nuclear Physics Institute,University of Texas at Austin,0.702096123
Petersburg Nuclear Physics Institute,University of Nottingham,0.605883125
Petersburg Nuclear Physics Institute,University of Tübingen,0.667612314
Petersburg Nuclear Physics Institute,Martin Luther University of Halle-Wittenberg,0.575452187
Petersburg Nuclear Physics Institute,University of Freiburg,0.66616642
Petersburg Nuclear Physics Institute,University of Oxford,0.667233682
Petersburg Nuclear Physics Institute,University of Florence,0.620544167
Petersburg Nuclear Physics Institute,Ludwig Maximilian University of Munich,0.689467511
Petersburg Nuclear Physics Institute,Ruhr University Bochum,0.616621128
Petersburg Nuclear Physics Institute,National University of Singapore,0.633407718
Petersburg Nuclear Physics Institute,Johns Hopkins University,0.669010688
Petersburg Nuclear Physics Institute,National Autonomous University of Mexico,0.611731659
Petersburg Nuclear Physics Institute,University of Cambridge,0.691114967
Petersburg Nuclear Physics Institute,Osaka University,0.736686458
Petersburg Nuclear Physics Institute,Rutgers University,0.662569847
Petersburg Nuclear Physics Institute,University of Southampton,0.642153891
Petersburg Nuclear Physics Institute,Kyushu University,0.620476051
Petersburg Nuclear Physics Institute,Cornell University,0.616129345
Petersburg Nuclear Physics Institute,University of California,0.652368382
Petersburg Nuclear Physics Institute,University of Milan,0.613270224
Petersburg Nuclear Physics Institute,Iowa State University,0.695265701
Petersburg Nuclear Physics Institute,University of Mainz,0.705441654
Petersburg Nuclear Physics Institute,Purdue University,0.617112101
